period	subgrp	N	mob1	mob2	mob3	mob1se	mob2se	mob3se
"K to 1"	"s1_all_all"	10300	.12315787	.04939973	.01721503	.00704974	.00475321	.0026428
"K to 1"	"s1_all_male"	5290	.12295807	.04926679	.01774549	.00803734	.00491762	.00289389
"K to 1"	"s1_all_female"	5000	.12336945	.04954051	.01665329	.00881198	.00615139	.00334171
"K to 1"	"s1_all_ethblk"	1280	.20055201	.0493769	.01411361	.0167633	.00893614	.00464319
"K to 1"	"s1_all_ethlat"	2650	.14789391	.0630871	.01456298	.01395225	.0095538	.00298934
"K to 1"	"s1_all_ethwht"	4980	.09103543	.04394902	.01955427	.00769657	.00570594	.00465087
"K to 1"	"s1_all_ethapi"	800	.09001247	.03321347	-99	.01854315	.0096074	-99
"K to 1"	"s1_all_sesl"	4420	.15365617	.05642618	.01201073	.01014143	.00580046	.00313169
"K to 1"	"s1_all_sesh"	1820	.08339568	.04138443	.02765942	.0099632	.00774729	.00652629
"K to 1"	"s1_all_ssml"	3960	.14893822	.05677714	.01309915	.00982148	.00667189	.00228989
"K to 1"	"s1_all_ssmh"	2120	.09028182	.04212659	.02255152	.01173215	.00773808	.00564013
"K to 1"	"s1_all_ssrl"	3860	.15121697	.05300013	.01299376	.00958368	.00655542	.00290257
"K to 1"	"s1_all_ssrh"	2100	.10264715	.04392431	.02453953	.01409266	.00871761	.0058769
"K to 1"	"s1_all_swdy"	1700	.1335153	.05479344	.02069259	.01026357	.00735052	.00494428
"K to 1"	"s1_all_swdn"	6840	.11310215	.04563283	.01671142	.00807302	.00534999	.00360337
"K to 1"	"s1_all_ell"	1970	.13786261	.04742084	.01216712	.01401009	.00900774	.00374042
"K to 1"	"s1_all_elln"	8310	.11979418	.04991018	.01825846	.00730969	.00475161	.0029843
"K to 1"	"s1_t1y_all"	7990	.13886382	.05436635	.01691997	.00878011	.00577767	.00321425
"K to 1"	"s1_t1y_male"	4140	.13712988	.05372626	.0180635	.00987002	.00610364	.00354881
"K to 1"	"s1_t1y_female"	3840	.14072139	.05505207	.01569489	.01103694	.00734307	.00407152
"K to 1"	"s1_t1y_ethblk"	1180	.20590644	.05083551	.01439291	.0179211	.00912205	.00495124
"K to 1"	"s1_t1y_ethlat"	2430	.15529135	.0640053	.01325639	.01458449	.01012827	.00327631
"K to 1"	"s1_t1y_ethwht"	3470	.10649179	.04980692	.0194129	.01140303	.00819126	.00629844
"K to 1"	"s1_t1y_ethapi"	500	.10700499	.04464855	-99	.02410888	.01480122	-99
"K to 1"	"s1_t1y_sesl"	4060	.15963073	.05921251	.01224953	.01078545	.00630941	.00331351
"K to 1"	"s1_t1y_sesh"	960	.09398227	.03819912	.02613409	.01348052	.00865673	.007526
"K to 1"	"s1_t1y_ssml"	3420	.15789942	.05902143	.01265952	.01116855	.00759761	.00279014
"K to 1"	"s1_t1y_ssmh"	1370	.10756673	.04577549	.02070412	.01631765	.01056715	.00725607
"K to 1"	"s1_t1y_ssrl"	3330	.16039645	.05649146	.0118887	.01057034	.00760633	.00330716
"K to 1"	"s1_t1y_ssrh"	1360	.12507973	.04932867	.02484693	.0188487	.01113606	.00689586
"K to 1"	"s1_t1y_swdy"	1300	.14504667	.05927145	.02035763	.01171943	.00872671	.00583453
"K to 1"	"s1_t1y_swdn"	5190	.1300639	.05123599	.01712573	.01036426	.00658094	.00429454
"K to 1"	"s1_t1y_ell"	1760	.14364484	.04891228	.01067031	.01443482	.00980259	.00366723
"K to 1"	"s1_t1y_elln"	6220	.13719567	.05576525	.01841805	.00958692	.00593812	.00376796
"K to 1"	"s1_t1n_all"	2280	.06078725	.03008827	.01862912	.00764092	.0051207	.00471093
"K to 1"	"s1_t1n_male"	1140	.06430708	.0314986	.01667561	.00886838	.00678783	.006017
"K to 1"	"s1_t1n_female"	1150	.05723168	.02866362	.02060246	.0107435	.00684254	.00614473
"K to 1"	"s1_t1n_ethblk"	100	.12158233	-99	-99	.04572235	-99	-99
"K to 1"	"s1_t1n_ethlat"	230	.07376643	.05404136	-99	.01628135	.01344772	-99
"K to 1"	"s1_t1n_ethwht"	1480	.05103216	.02942742	.02027159	.00788454	.00623983	.00509136
"K to 1"	"s1_t1n_ethapi"	310	.05672106	-99	-99	.01944721	-99	-99
"K to 1"	"s1_t1n_sesl"	360	.08471892	-99	-99	.01695686	-99	-99
"K to 1"	"s1_t1n_sesh"	850	.07147705	.04602547	.03000628	.01359695	.01225439	.01073628
"K to 1"	"s1_t1n_ssml"	540	.08797124	.04183385	-99	.01513118	.00848092	-99
"K to 1"	"s1_t1n_ssmh"	740	.05369615	.03464158	.02679447	.01288212	.0107856	.0097732
"K to 1"	"s1_t1n_ssrl"	530	.0880473	.02891222	.02102588	.01634433	.00860296	.00876586
"K to 1"	"s1_t1n_ssrh"	740	.05287781	.03216462	.02413536	.01255347	.01051779	.00869728
"K to 1"	"s1_t1n_swdy"	380	.08746236	.038984	-99	.02061127	.01391475	-99
"K to 1"	"s1_t1n_swdn"	1630	.05213457	.02557032	.01535309	.00818626	.00562945	.00530087
"K to 1"	"s1_t1n_ell"	210	.07761922	-99	-99	.02857796	-99	-99
"K to 1"	"s1_t1n_elln"	2060	.05935567	.03002645	.01795846	.00834524	.00537272	.0046784
"K to 1"	"s1_region1_all"	1520	.09031276	.04144853	.00854322	.01714096	.00618566	.00373832
"K to 1"	"s1_region1_male"	750	.08252966	.02991369	-99	.02138964	.01150509	-99
"K to 1"	"s1_region1_female"	770	.09834341	.05335023	-99	.01931506	.01112883	-99
"K to 1"	"s1_region1_ethblk"	200	.15350417	.06928455	-99	.02512069	.02601056	-99
"K to 1"	"s1_region1_ethlat"	280	.13103593	.04776111	-99	.05824693	.02211555	-99
"K to 1"	"s1_region1_ethwht"	780	.06676279	.03839894	-99	.01003851	.00509375	-99
"K to 1"	"s1_region1_ethapi"	180	.05738299	-99	-99	.01790682	-99	-99
"K to 1"	"s1_region1_sesl"	530	.13523092	.04171879	-99	.02822933	.00849997	-99
"K to 1"	"s1_region1_sesh"	380	.03806692	-99	-99	.01455622	-99	-99
"K to 1"	"s1_region1_ssml"	610	.12367263	.05224692	-99	.02454251	.01277894	-99
"K to 1"	"s1_region1_ssmh"	280	.07111675	.03934449	-99	.02789841	.01159891	-99
"K to 1"	"s1_region1_ssrl"	590	.11854734	.04159059	-99	.02516758	.00792742	-99
"K to 1"	"s1_region1_ssrh"	300	.04111818	-99	-99	.01685459	-99	-99
"K to 1"	"s1_region1_swdy"	290	.07304938	-99	-99	.01728618	-99	-99
"K to 1"	"s1_region1_swdn"	1000	.0916815	.03782485	-99	.01812846	.00798514	-99
"K to 1"	"s1_region1_ell"	290	.12272062	-99	-99	.04646797	-99	-99
"K to 1"	"s1_region1_elln"	1230	.08360108	.04310457	-99	.01397443	.00521292	-99
"K to 1"	"s1_region2_all"	2220	.11901315	.04954777	.01855056	.01267104	.00944393	.00521403
"K to 1"	"s1_region2_male"	1130	.11966586	.06303463	.02200184	.0135447	.01104403	.00603054
"K to 1"	"s1_region2_female"	1090	.11832303	.03528783	.01490145	.01735686	.00893853	.00687488
"K to 1"	"s1_region2_ethblk"	270	.27785787	.09108633	-99	.025413	.03547585	-99
"K to 1"	"s1_region2_ethlat"	300	.14074174	.03514307	-99	.03889939	.00952381	-99
"K to 1"	"s1_region2_ethwht"	1400	.07905652	.04768304	.02007163	.00969894	.00956205	.00649304
"K to 1"	"s1_region2_ethapi"	120	.13633711	-99	-99	.03628614	-99	-99
"K to 1"	"s1_region2_sesl"	830	.15489023	.06344613	.01418817	.02322078	.0132216	.00745267
"K to 1"	"s1_region2_sesh"	470	.07787334	.03473615	.02411868	.02199642	.01463281	.00924198
"K to 1"	"s1_region2_ssml"	710	.15161501	.06218098	-99	.01591022	.01725404	-99
"K to 1"	"s1_region2_ssmh"	620	.084647	.03774129	.02791776	.0173575	.00752808	.00808664
"K to 1"	"s1_region2_ssrl"	770	.16566177	.06122704	-99	.0190881	.01907066	-99
"K to 1"	"s1_region2_ssrh"	460	.09044632	.04554088	.02622169	.02156389	.01700864	.01327258
"K to 1"	"s1_region2_swdy"	410	.15336075	.08114396	-99	.02541182	.02190797	-99
"K to 1"	"s1_region2_swdn"	1450	.09920222	.0431508	.02135958	.01478421	.00772072	.00576508
"K to 1"	"s1_region2_ell"	240	.15713698	-99	-99	.03404364	-99	-99
"K to 1"	"s1_region2_elln"	1970	.11453735	.05139605	.02042326	.01365641	.00935122	.00586359
"K to 1"	"s1_region3_all"	3950	.12046609	.0304885	.01145577	.01311803	.0059529	.00269887
